0	304.27	60.86	129	82
15	253.07	68.29	133	82
30	280.63	51.31	129	83
45	258.67	72.28	137	85
60	279.56	43.31	132	83
75	257.68	45.63	128	80
90	280.77	41.66	134	84
105	276.31	38.6	129	85
120	287.08	110.22	129	81
135	284.84	38.22	133	86
150	291.33	37.43	135	86
165	267.09	31	138	86
180	262.86	31.14	133	86
195	258.22	68.71	136	84
210	260.89	122.25	135	84
225	252.46	106.27	136	89
240	270.52	125.33	139	84
255	272.67	85.39	139	88
270	278.27	73.17	137	85
285	276.43	128	136	89
300	278.4	135.08	136	83
315	277.3	24	133	90
330	278.86	140.33	126	84
345	255.38	158	134	86
360	262.67	120.84	143	87
375	250.67	143.66	142	86
390	239.78	121.56	135	85
405	239.65	113.6	136	83
420	241.29	118.62	133	89
435	242.78	115.69	132	89
450	242.61	117.66	134	80
465	255.57	125.11	136	82
